Occupational Area,Typical Annual Salary,Counties
Building & Grounds Cleaning & Maintenance,"$42,720 ",Suffolk County
Personal Care & Service,"$44,260 ",Suffolk County
Sales & Related,"$66,550 ",Suffolk County
Office & Administrative Support,"$52,820 ",Suffolk County
"Farming, Fishing, & Forestry","$41,320 ",Suffolk County
Construction & Extraction,"$72,430 ",Suffolk County
"Installation, Maintenance, & Repair","$61,100 ",Suffolk County
Production,"$47,900 ",Suffolk County
Transportation & Material Moving,"$50,710 ",Suffolk County
Management,"$170,150 ",Sullivan County
Business & Financial Operations,"$107,140 ",Sullivan County
Computer & Mathematical,"$117,170 ",Sullivan County
Architecture & Engineering,"$94,490 ",Sullivan County
"Life, Physical, & Social Science","$88,260 ",Sullivan County
Community & Social Service,"$62,520 ",Sullivan County
Legal,"$155,400 ",Sullivan County
"Education, Training, & Library","$78,630 ",Sullivan County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Sullivan County
Healthcare Practitioners & Technical,"$110,890 ",Sullivan County
Healthcare Support,"$38,190 ",Sullivan County
Protective Service,"$61,410 ",Sullivan County
Food Preparation & Serving Related,"$40,820 ",Sullivan County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Sullivan County
Personal Care & Service,"$44,260 ",Sullivan County
Sales & Related,"$66,550 ",Sullivan County
Office & Administrative Support,"$52,820 ",Sullivan County
"Farming, Fishing, & Forestry","$41,320 ",Sullivan County
Construction & Extraction,"$72,430 ",Sullivan County
"Installation, Maintenance, & Repair","$61,100 ",Sullivan County
Production,"$47,900 ",Sullivan County
Transportation & Material Moving,"$50,710 ",Sullivan County
Management,"$170,150 ",Tioga County
Business & Financial Operations,"$107,140 ",Tioga County
Computer & Mathematical,"$117,170 ",Tioga County
Architecture & Engineering,"$94,490 ",Tioga County
"Life, Physical, & Social Science","$88,260 ",Tioga County
Community & Social Service,"$62,520 ",Tioga County
Legal,"$155,400 ",Tioga County
"Education, Training, & Library","$78,630 ",Tioga County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Tioga County
Healthcare Practitioners & Technical,"$110,890 ",Tioga County
Healthcare Support,"$38,190 ",Tioga County
Protective Service,"$61,410 ",Tioga County
Food Preparation & Serving Related,"$40,820 ",Tioga County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Tioga County
Personal Care & Service,"$44,260 ",Tioga County
Sales & Related,"$66,550 ",Tioga County
Office & Administrative Support,"$52,820 ",Tioga County
"Farming, Fishing, & Forestry","$41,320 ",Tioga County
Construction & Extraction,"$72,430 ",Tioga County
"Installation, Maintenance, & Repair","$61,100 ",Tioga County
Production,"$47,900 ",Tioga County
Transportation & Material Moving,"$50,710 ",Tioga County
Management,"$170,150 ",Tompkins County
Business & Financial Operations,"$107,140 ",Tompkins County
Computer & Mathematical,"$117,170 ",Tompkins County
Architecture & Engineering,"$94,490 ",Tompkins County
"Life, Physical, & Social Science","$88,260 ",Tompkins County
Community & Social Service,"$62,520 ",Tompkins County
Legal,"$155,400 ",Tompkins County
"Education, Training, & Library","$78,630 ",Tompkins County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Tompkins County
Healthcare Practitioners & Technical,"$110,890 ",Tompkins County
Healthcare Support,"$38,190 ",Tompkins County
Protective Service,"$61,410 ",Tompkins County
Food Preparation & Serving Related,"$40,820 ",Tompkins County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Tompkins County
Personal Care & Service,"$44,260 ",Tompkins County
Sales & Related,"$66,550 ",Tompkins County
Office & Administrative Support,"$52,820 ",Tompkins County
"Farming, Fishing, & Forestry","$41,320 ",Tompkins County
Construction & Extraction,"$72,430 ",Tompkins County
"Installation, Maintenance, & Repair","$61,100 ",Tompkins County
Production,"$47,900 ",Tompkins County
Transportation & Material Moving,"$50,710 ",Tompkins County
Management,"$170,150 ",Ulster County
Business & Financial Operations,"$107,140 ",Ulster County
Computer & Mathematical,"$117,170 ",Ulster County
Architecture & Engineering,"$94,490 ",Ulster County
"Life, Physical, & Social Science","$88,260 ",Ulster County
Community & Social Service,"$62,520 ",Ulster County
Legal,"$155,400 ",Ulster County
"Education, Training, & Library","$78,630 ",Ulster County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Ulster County
Healthcare Practitioners & Technical,"$110,890 ",Ulster County
Healthcare Support,"$38,190 ",Ulster County
Protective Service,"$61,410 ",Ulster County
Food Preparation & Serving Related,"$40,820 ",Ulster County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Ulster County
Personal Care & Service,"$44,260 ",Ulster County
Sales & Related,"$66,550 ",Ulster County
Office & Administrative Support,"$52,820 ",Ulster County
"Farming, Fishing, & Forestry","$41,320 ",Ulster County
Construction & Extraction,"$72,430 ",Ulster County
"Installation, Maintenance, & Repair","$61,100 ",Ulster County
Production,"$47,900 ",Ulster County
Transportation & Material Moving,"$50,710 ",Ulster County
Management,"$170,150 ",Warren County
Business & Financial Operations,"$107,140 ",Warren County
Computer & Mathematical,"$117,170 ",Warren County
Architecture & Engineering,"$94,490 ",Warren County
"Life, Physical, & Social Science","$88,260 ",Warren County
Community & Social Service,"$62,520 ",Warren County
Legal,"$155,400 ",Warren County
"Education, Training, & Library","$78,630 ",Warren County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Warren County
Healthcare Practitioners & Technical,"$110,890 ",Warren County
Healthcare Support,"$38,190 ",Warren County
Protective Service,"$61,410 ",Warren County
Food Preparation & Serving Related,"$40,820 ",Warren County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Warren County
Personal Care & Service,"$44,260 ",Warren County
Sales & Related,"$66,550 ",Warren County
Office & Administrative Support,"$52,820 ",Warren County
"Farming, Fishing, & Forestry","$41,320 ",Warren County
Construction & Extraction,"$72,430 ",Warren County
"Installation, Maintenance, & Repair","$61,100 ",Warren County
Production,"$47,900 ",Warren County
Transportation & Material Moving,"$50,710 ",Warren County
Management,"$170,150 ",Washington County
Business & Financial Operations,"$107,140 ",Washington County
Computer & Mathematical,"$117,170 ",Washington County
Architecture & Engineering,"$94,490 ",Washington County
"Life, Physical, & Social Science","$88,260 ",Washington County
Community & Social Service,"$62,520 ",Washington County
Legal,"$155,400 ",Washington County
"Education, Training, & Library","$78,630 ",Washington County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Washington County
Healthcare Practitioners & Technical,"$110,890 ",Washington County
Healthcare Support,"$38,190 ",Washington County
Protective Service,"$61,410 ",Washington County
Food Preparation & Serving Related,"$40,820 ",Washington County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Washington County
Personal Care & Service,"$44,260 ",Washington County
Sales & Related,"$66,550 ",Washington County
Office & Administrative Support,"$52,820 ",Washington County
"Farming, Fishing, & Forestry","$41,320 ",Washington County
Construction & Extraction,"$72,430 ",Washington County
"Installation, Maintenance, & Repair","$61,100 ",Washington County
Production,"$47,900 ",Washington County
Transportation & Material Moving,"$50,710 ",Washington County
Management,"$170,150 ",Wayne County
Business & Financial Operations,"$107,140 ",Wayne County
Computer & Mathematical,"$117,170 ",Wayne County
Architecture & Engineering,"$94,490 ",Wayne County
"Life, Physical, & Social Science","$88,260 ",Wayne County
Community & Social Service,"$62,520 ",Wayne County
Legal,"$155,400 ",Wayne County
"Education, Training, & Library","$78,630 ",Wayne County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Wayne County
Healthcare Practitioners & Technical,"$110,890 ",Wayne County
Healthcare Support,"$38,190 ",Wayne County
Protective Service,"$61,410 ",Wayne County
Food Preparation & Serving Related,"$40,820 ",Wayne County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Wayne County
Personal Care & Service,"$44,260 ",Wayne County
Sales & Related,"$66,550 ",Wayne County
Office & Administrative Support,"$52,820 ",Wayne County
"Farming, Fishing, & Forestry","$41,320 ",Wayne County
Construction & Extraction,"$72,430 ",Wayne County
"Installation, Maintenance, & Repair","$61,100 ",Wayne County
Production,"$47,900 ",Wayne County
Transportation & Material Moving,"$50,710 ",Wayne County
Management,"$170,150 ",Westchester County
Business & Financial Operations,"$107,140 ",Westchester County
Computer & Mathematical,"$117,170 ",Westchester County
Architecture & Engineering,"$94,490 ",Westchester County
"Life, Physical, & Social Science","$88,260 ",Westchester County
Community & Social Service,"$62,520 ",Westchester County
Legal,"$155,400 ",Westchester County
"Education, Training, & Library","$78,630 ",Westchester County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Westchester County
Healthcare Practitioners & Technical,"$110,890 ",Westchester County
Healthcare Support,"$38,190 ",Westchester County
Protective Service,"$61,410 ",Westchester County
Food Preparation & Serving Related,"$40,820 ",Westchester County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Westchester County
Personal Care & Service,"$44,260 ",Westchester County
Sales & Related,"$66,550 ",Westchester County
Office & Administrative Support,"$52,820 ",Westchester County
"Farming, Fishing, & Forestry","$41,320 ",Westchester County
Construction & Extraction,"$72,430 ",Westchester County
"Installation, Maintenance, & Repair","$61,100 ",Westchester County
Production,"$47,900 ",Westchester County
Transportation & Material Moving,"$50,710 ",Westchester County
Management,"$170,150 ",Wyoming County
Business & Financial Operations,"$107,140 ",Wyoming County
Computer & Mathematical,"$117,170 ",Wyoming County
Architecture & Engineering,"$94,490 ",Wyoming County
"Life, Physical, & Social Science","$88,260 ",Wyoming County
Community & Social Service,"$62,520 ",Wyoming County
Legal,"$155,400 ",Wyoming County
"Education, Training, & Library","$78,630 ",Wyoming County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Wyoming County
Healthcare Practitioners & Technical,"$110,890 ",Wyoming County
Healthcare Support,"$38,190 ",Wyoming County
Protective Service,"$61,410 ",Wyoming County
Food Preparation & Serving Related,"$40,820 ",Wyoming County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Wyoming County
Personal Care & Service,"$44,260 ",Wyoming County
Sales & Related,"$66,550 ",Wyoming County
Office & Administrative Support,"$52,820 ",Wyoming County
"Farming, Fishing, & Forestry","$41,320 ",Wyoming County
Construction & Extraction,"$72,430 ",Wyoming County
"Installation, Maintenance, & Repair","$61,100 ",Wyoming County
Production,"$47,900 ",Wyoming County
Transportation & Material Moving,"$50,710 ",Wyoming County
Management,"$170,150 ",Yates County
Business & Financial Operations,"$107,140 ",Yates County
Computer & Mathematical,"$117,170 ",Yates County
Architecture & Engineering,"$94,490 ",Yates County
"Life, Physical, & Social Science","$88,260 ",Yates County
Community & Social Service,"$62,520 ",Yates County
Legal,"$155,400 ",Yates County
"Education, Training, & Library","$78,630 ",Yates County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Yates County
Healthcare Practitioners & Technical,"$110,890 ",Yates County
Healthcare Support,"$38,190 ",Yates County
Protective Service,"$61,410 ",Yates County
Food Preparation & Serving Related,"$40,820 ",Yates County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Yates County
Personal Care & Service,"$44,260 ",Yates County
Sales & Related,"$66,550 ",Yates County
Office & Administrative Support,"$52,820 ",Yates County
"Farming, Fishing, & Forestry","$41,320 ",Yates County
Construction & Extraction,"$72,430 ",Yates County
"Installation, Maintenance, & Repair","$61,100 ",Yates County
Production,"$47,900 ",Yates County
Transportation & Material Moving,"$50,710 ",Yates County
