Fields,1 Adult - 0ÊChildren,1 Adult - 1ÊChild,1 Adult - 2ÊChildren,1 Adult - 3ÊChildren,2 Adults (1 W) - 0ÊChildren,2 Adults (1 W) - 1ÊChild,2 Adults (1 W)  - 2ÊChildren,2 Adults (1 W) - 3ÊChildren,2 Adults (Both W) - 0ÊChildren,2 Adults (Both W) - 1ÊChild,2 Adults (Both W) - 2ÊChildren,2 Adults (Both W) - 3ÊChildren,Counties 
Required annual income after taxes,"$37,885 ","$68,692 ","$89,235 ","$113,908 ","$53,227 ","$64,922 ","$75,101 ","$79,205 ","$53,227 ","$77,856 ","$100,279 ","$115,686 ",Livingston County
Annual taxes,"$7,051 ","$10,416 ","$13,977 ","$20,824 ","$8,329 ","$8,887 ","$9,064 ","$7,685 ","$8,329 ","$11,467 ","$14,049 ","$16,010 ",Livingston County
Required annual income before taxes,"$44,936 ","$79,107 ","$103,212 ","$134,732 ","$61,556 ","$73,809 ","$84,164 ","$86,890 ","$61,556 ","$89,324 ","$114,328 ","$131,696 ",Livingston County
Food,"$4,213 ","$6,211 ","$9,316 ","$12,382 ","$7,724 ","$9,615 ","$12,384 ","$15,099 ","$7,724 ","$9,615 ","$12,384 ","$15,099 ",Madison County
Child Care,$0 ,"$12,587 ","$24,502 ","$35,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,587 ","$24,502 ","$35,500 ",Madison County
Medical,"$3,514 ","$8,280 ","$8,132 ","$8,745 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ",Madison County
Housing,"$8,931 ","$12,146 ","$12,146 ","$14,897 ","$9,881 ","$12,146 ","$12,146 ","$14,897 ","$9,881 ","$12,146 ","$12,146 ","$14,897 ",Madison County
Transportation,"$11,256 ","$13,026 ","$16,409 ","$18,880 ","$13,026 ","$16,409 ","$18,880 ","$18,859 ","$13,026 ","$16,409 ","$18,880 ","$18,859 ",Madison County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Madison County
Internet & Mobile,"$1,482 ","$1,482 ","$1,482 ","$1,482 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ",Madison County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Madison County
Required annual income after taxes,"$36,827 ","$66,919 ","$87,044 ","$111,203 ","$52,042 ","$63,407 ","$73,519 ","$77,474 ","$52,042 ","$75,994 ","$98,021 ","$112,974 ",Madison County
Annual taxes,"$6,780 ","$9,906 ","$13,161 ","$19,761 ","$8,026 ","$8,500 ","$8,658 ","$7,241 ","$8,026 ","$10,990 ","$13,471 ","$15,044 ",Madison County
Required annual income before taxes,"$43,607 ","$76,825 ","$100,205 ","$130,965 ","$60,067 ","$71,907 ","$82,177 ","$84,715 ","$60,067 ","$86,984 ","$111,492 ","$128,018 ",Madison County
Food,"$4,427 ","$6,526 ","$9,789 ","$13,011 ","$8,117 ","$10,104 ","$13,013 ","$15,866 ","$8,117 ","$10,104 ","$13,013 ","$15,866 ",Monroe County
Child Care,$0 ,"$16,311 ","$31,447 ","$44,731 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$16,311 ","$31,447 ","$44,731 ",Monroe County
Medical,"$3,326 ","$7,714 ","$7,565 ","$8,178 ","$5,825 ","$7,565 ","$8,178 ","$7,642 ","$5,825 ","$7,565 ","$8,178 ","$7,642 ",Monroe County
Housing,"$11,739 ","$16,357 ","$16,357 ","$19,774 ","$13,141 ","$16,357 ","$16,357 ","$19,774 ","$13,141 ","$16,357 ","$16,357 ","$19,774 ",Monroe County
Transportation,"$9,559 ","$11,062 ","$13,935 ","$16,034 ","$11,062 ","$13,935 ","$16,034 ","$16,015 ","$11,062 ","$13,935 ","$16,034 ","$16,015 ",Monroe County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Monroe County
Internet & Mobile,"$1,354 ","$1,354 ","$1,354 ","$1,354 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ",Monroe County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Monroe County
Required annual income after taxes,"$37,836 ","$72,512 ","$95,506 ","$122,399 ","$53,252 ","$64,938 ","$74,818 ","$79,580 ","$53,252 ","$81,249 ","$106,266 ","$124,311 ",Monroe County
Annual taxes,"$7,039 ","$11,496 ","$16,314 ","$24,208 ","$8,335 ","$8,891 ","$8,991 ","$7,781 ","$8,335 ","$12,337 ","$15,583 ","$19,181 ",Monroe County
Required annual income before taxes,"$44,874 ","$84,007 ","$111,820 ","$146,606 ","$61,587 ","$73,829 ","$83,810 ","$87,361 ","$61,587 ","$93,586 ","$121,849 ","$143,492 ",Monroe County
Food,"$4,112 ","$6,061 ","$9,092 ","$12,084 ","$7,539 ","$9,384 ","$12,086 ","$14,735 ","$7,539 ","$9,384 ","$12,086 ","$14,735 ",Montgomery County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Montgomery County
Medical,"$3,510 ","$8,267 ","$8,119 ","$8,732 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ",Montgomery County
Housing,"$8,986 ","$11,025 ","$11,025 ","$14,064 ","$9,408 ","$11,025 ","$11,025 ","$14,064 ","$9,408 ","$11,025 ","$11,025 ","$14,064 ",Montgomery County
Transportation,"$9,722 ","$11,251 ","$14,172 ","$16,307 ","$11,251 ","$14,172 ","$16,307 ","$16,288 ","$11,251 ","$14,172 ","$16,307 ","$16,288 ",Montgomery County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Montgomery County
Internet & Mobile,"$1,564 ","$1,564 ","$1,564 ","$1,564 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ",Montgomery County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Montgomery County
Required annual income after taxes,"$35,324 ","$63,051 ","$81,797 ","$105,056 ","$49,682 ","$59,886 ","$69,595 ","$73,776 ","$49,682 ","$71,583 ","$92,363 ","$106,765 ",Montgomery County
Annual taxes,"$6,395 ","$8,791 ","$11,222 ","$17,443 ","$7,423 ","$7,601 ","$7,653 ","$6,294 ","$7,423 ","$9,851 ","$12,021 ","$13,281 ",Montgomery County
Required annual income before taxes,"$41,719 ","$71,843 ","$93,019 ","$122,500 ","$57,105 ","$67,487 ","$77,248 ","$80,071 ","$57,105 ","$81,434 ","$104,384 ","$120,045 ",Montgomery County
Food,"$4,732 ","$6,975 ","$10,462 ","$13,905 ","$8,675 ","$10,798 ","$13,907 ","$16,956 ","$8,675 ","$10,798 ","$13,907 ","$16,956 ",Nassau County
Child Care,$0 ,"$20,740 ","$39,762 ","$59,214 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$20,740 ","$39,762 ","$59,214 ",Nassau County
Medical,"$4,099 ","$10,039 ","$9,891 ","$10,504 ","$7,264 ","$9,891 ","$10,504 ","$9,967 ","$7,264 ","$9,891 ","$10,504 ","$9,967 ",Nassau County
Housing,"$20,694 ","$30,386 ","$30,386 ","$39,328 ","$25,976 ","$30,386 ","$30,386 ","$39,328 ","$25,976 ","$30,386 ","$30,386 ","$39,328 ",Nassau County
Transportation,"$9,914 ","$11,473 ","$14,452 ","$16,629 ","$11,473 ","$14,452 ","$16,629 ","$16,610 ","$11,473 ","$14,452 ","$16,629 ","$16,610 ",Nassau County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Nassau County
Internet & Mobile,"$1,353 ","$1,353 ","$1,353 ","$1,353 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ",Nassau County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Nassau County
Required annual income after taxes,"$48,222 ","$94,154 ","$121,364 ","$160,250 ","$68,495 ","$82,504 ","$92,662 ","$103,144 ","$68,495 ","$103,244 ","$132,424 ","$162,358 ",Nassau County
Annual taxes,"$9,699 ","$18,973 ","$26,089 ","$39,132 ","$12,232 ","$13,391 ","$13,563 ","$13,818 ","$12,232 ","$17,972 ","$24,712 ","$33,722 ",Nassau County
Required annual income before taxes,"$57,921 ","$113,127 ","$147,453 ","$199,382 ","$80,726 ","$95,895 ","$106,225 ","$116,962 ","$80,726 ","$121,216 ","$157,136 ","$196,079 ",Nassau County
Food,"$6,714 ","$9,898 ","$14,846 ","$19,732 ","$12,310 ","$15,323 ","$19,734 ","$24,061 ","$12,310 ","$15,323 ","$19,734 ","$24,061 ",New York County
Child Care,$0 ,"$19,219 ","$36,852 ","$51,251 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$19,219 ","$36,852 ","$51,251 ",New York County
Medical,"$4,230 ","$10,433 ","$10,284 ","$10,898 ","$7,508 ","$10,284 ","$10,898 ","$10,361 ","$7,508 ","$10,284 ","$10,898 ","$10,361 ",New York County
Housing,"$33,266 ","$38,369 ","$38,369 ","$47,878 ","$34,172 ","$38,369 ","$38,369 ","$47,878 ","$34,172 ","$38,369 ","$38,369 ","$47,878 ",New York County
Transportation,"$3,941 ","$4,560 ","$5,745 ","$6,610 ","$4,560 ","$5,745 ","$6,610 ","$6,602 ","$4,560 ","$5,745 ","$6,610 ","$6,602 ",New York County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",New York County
Internet & Mobile,"$1,564 ","$1,564 ","$1,564 ","$1,564 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ",New York County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",New York County
Required annual income after taxes,"$57,145 ","$97,230 ","$122,717 ","$157,249 ","$73,867 ","$86,908 ","$97,057 ","$109,395 ","$73,867 ","$106,127 ","$133,908 ","$160,646 ",New York County
Annual taxes,"$12,138 ","$20,120 ","$26,617 ","$38,134 ","$13,608 ","$14,519 ","$14,689 ","$15,420 ","$13,608 ","$18,710 ","$25,279 ","$33,068 ",New York County
Required annual income before taxes,"$69,282 ","$117,350 ","$149,334 ","$195,383 ","$87,475 ","$101,427 ","$111,746 ","$124,815 ","$87,475 ","$124,837 ","$159,188 ","$193,714 ",New York County
Food,"$4,168 ","$6,145 ","$9,216 ","$12,250 ","$7,642 ","$9,512 ","$12,251 ","$14,937 ","$7,642 ","$9,512 ","$12,251 ","$14,937 ",Niagara County
Child Care,$0 ,"$12,964 ","$25,236 ","$36,565 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,964 ","$25,236 ","$36,565 ",Niagara County
Medical,"$3,123 ","$7,101 ","$6,953 ","$7,566 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ",Niagara County
Housing,"$9,888 ","$12,092 ","$12,092 ","$14,806 ","$10,314 ","$12,092 ","$12,092 ","$14,806 ","$10,314 ","$12,092 ","$12,092 ","$14,806 ",Niagara County
Transportation,"$9,745 ","$11,277 ","$14,206 ","$16,345 ","$11,277 ","$14,206 ","$16,345 ","$16,326 ","$11,277 ","$14,206 ","$16,345 ","$16,326 ",Niagara County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Niagara County
Internet & Mobile,"$1,467 ","$1,467 ","$1,467 ","$1,467 ","$2,032 ","$2,032 ","$2,032 ","$2,032 ","$2,032 ","$2,032 ","$2,032 ","$2,032 ",Niagara County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Niagara County
Required annual income after taxes,"$35,821 ","$64,234 ","$84,229 ","$108,316 ","$49,899 ","$59,854 ","$69,604 ","$73,496 ","$49,899 ","$72,818 ","$94,841 ","$110,061 ",Niagara County
Annual taxes,"$6,522 ","$9,132 ","$12,111 ","$18,658 ","$7,478 ","$7,592 ","$7,656 ","$6,222 ","$7,478 ","$10,177 ","$12,656 ","$14,125 ",Niagara County
Required annual income before taxes,"$42,343 ","$73,366 ","$96,340 ","$126,974 ","$57,377 ","$67,446 ","$77,260 ","$79,718 ","$57,377 ","$82,995 ","$107,497 ","$124,186 ",Niagara County
Food,"$4,157 ","$6,128 ","$9,191 ","$12,217 ","$7,621 ","$9,487 ","$12,218 ","$14,897 ","$7,621 ","$9,487 ","$12,218 ","$14,897 ",Oneida County
Child Care,$0 ,"$12,889 ","$25,090 ","$36,353 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,889 ","$25,090 ","$36,353 ",Oneida County
Medical,"$3,514 ","$8,280 ","$8,132 ","$8,745 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ",Oneida County
Housing,"$9,725 ","$12,289 ","$12,289 ","$14,854 ","$9,787 ","$12,289 ","$12,289 ","$14,854 ","$9,787 ","$12,289 ","$12,289 ","$14,854 ",Oneida County
Transportation,"$9,534 ","$11,034 ","$13,899 ","$15,993 ","$11,034 ","$13,899 ","$15,993 ","$15,974 ","$11,034 ","$13,899 ","$15,993 ","$15,974 ",Oneida County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Oneida County
Internet & Mobile,"$1,568 ","$1,568 ","$1,568 ","$1,568 ","$2,133 ","$2,133 ","$2,133 ","$2,133 ","$2,133 ","$2,133 ","$2,133 ","$2,133 ",Oneida County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Oneida County
Required annual income after taxes,"$35,929 ","$65,376 ","$85,227 ","$109,046 ","$49,938 ","$60,998 ","$70,695 ","$74,431 ","$49,938 ","$73,887 ","$95,785 ","$110,783 ",Oneida County
Annual taxes,"$6,550 ","$9,461 ","$12,483 ","$18,930 ","$7,488 ","$7,885 ","$7,935 ","$6,462 ","$7,488 ","$10,451 ","$12,898 ","$14,310 ",Oneida County
Required annual income before taxes,"$42,479 ","$74,836 ","$97,711 ","$127,976 ","$57,427 ","$68,883 ","$78,630 ","$80,893 ","$57,427 ","$84,338 ","$108,683 ","$125,094 ",Oneida County
Food,"$4,472 ","$6,593 ","$9,889 ","$13,144 ","$8,200 ","$10,207 ","$13,145 ","$16,027 ","$8,200 ","$10,207 ","$13,145 ","$16,027 ",Onondaga County
Child Care,$0 ,"$16,386 ","$31,592 ","$44,936 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$16,386 ","$31,592 ","$44,936 ",Onondaga County
Medical,"$3,566 ","$8,436 ","$8,288 ","$8,901 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ",Onondaga County
Housing,"$10,322 ","$14,037 ","$14,037 ","$17,216 ","$11,419 ","$14,037 ","$14,037 ","$17,216 ","$11,419 ","$14,037 ","$14,037 ","$17,216 ",Onondaga County
Transportation,"$9,667 ","$11,188 ","$14,093 ","$16,216 ","$11,188 ","$14,093 ","$16,216 ","$16,197 ","$11,188 ","$14,093 ","$16,216 ","$16,197 ",Onondaga County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Onondaga County
Internet & Mobile,"$1,402 ","$1,402 ","$1,402 ","$1,402 ","$1,967 ","$1,967 ","$1,967 ","$1,967 ","$1,967 ","$1,967 ","$1,967 ","$1,967 ",Onondaga County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Onondaga County
Required annual income after taxes,"$36,860 ","$71,229 ","$94,359 ","$121,132 ","$52,233 ","$63,650 ","$73,583 ","$78,136 ","$52,233 ","$80,035 ","$105,175 ","$123,073 ",Onondaga County
Annual taxes,"$6,789 ","$11,147 ","$15,887 ","$23,692 ","$8,075 ","$8,562 ","$8,675 ","$7,411 ","$8,075 ","$12,026 ","$15,304 ","$18,708 ",Onondaga County
Required annual income before taxes,"$43,649 ","$82,375 ","$110,245 ","$144,824 ","$60,308 ","$72,212 ","$82,258 ","$85,547 ","$60,308 ","$92,061 ","$120,479 ","$141,780 ",Onondaga County
Food,"$4,427 ","$6,526 ","$9,789 ","$13,011 ","$8,117 ","$10,104 ","$13,013 ","$15,866 ","$8,117 ","$10,104 ","$13,013 ","$15,866 ",Ontario County
Child Care,$0 ,"$16,238 ","$31,308 ","$44,533 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$16,238 ","$31,308 ","$44,533 ",Ontario County
Medical,"$3,326 ","$7,714 ","$7,565 ","$8,178 ","$5,825 ","$7,565 ","$8,178 ","$7,642 ","$5,825 ","$7,565 ","$8,178 ","$7,642 ",Ontario County
Housing,"$11,480 ","$15,995 ","$15,995 ","$19,337 ","$12,850 ","$15,995 ","$15,995 ","$19,337 ","$12,850 ","$15,995 ","$15,995 ","$19,337 ",Ontario County
Transportation,"$11,000 ","$12,731 ","$16,036 ","$18,452 ","$12,731 ","$16,036 ","$18,452 ","$18,431 ","$12,731 ","$16,036 ","$18,452 ","$18,431 ",Ontario County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Ontario County
Internet & Mobile,"$1,391 ","$1,391 ","$1,391 ","$1,391 ","$1,957 ","$1,957 ","$1,957 ","$1,957 ","$1,957 ","$1,957 ","$1,957 ","$1,957 ",Ontario County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Ontario County
Required annual income after taxes,"$39,055 ","$73,783 ","$97,144 ","$124,219 ","$54,667 ","$66,715 ","$76,912 ","$81,596 ","$54,667 ","$82,954 ","$108,220 ","$126,129 ",Ontario County
Annual taxes,"$7,351 ","$11,822 ","$16,925 ","$24,949 ","$8,697 ","$9,346 ","$9,528 ","$8,297 ","$8,697 ","$12,773 ","$16,084 ","$19,876 ",Ontario County
Required annual income before taxes,"$46,406 ","$85,605 ","$114,068 ","$149,168 ","$63,363 ","$76,061 ","$86,440 ","$89,893 ","$63,363 ","$95,727 ","$124,304 ","$146,004 ",Ontario County
Food,"$4,315 ","$6,360 ","$9,540 ","$12,680 ","$7,910 ","$9,847 ","$12,682 ","$15,462 ","$7,910 ","$9,847 ","$12,682 ","$15,462 ",Orange County
Child Care,$0 ,"$15,875 ","$30,850 ","$44,628 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$15,875 ","$30,850 ","$44,628 ",Orange County
Medical,"$3,955 ","$9,607 ","$9,458 ","$10,072 ","$6,997 ","$9,458 ","$10,072 ","$9,535 ","$6,997 ","$9,458 ","$10,072 ","$9,535 ",Orange County
Housing,"$15,218 ","$22,452 ","$22,452 ","$28,480 ","$17,457 ","$22,452 ","$22,452 ","$28,480 ","$17,457 ","$22,452 ","$22,452 ","$28,480 ",Orange County
Transportation,"$10,933 ","$12,652 ","$15,938 ","$18,339 ","$12,652 ","$15,938 ","$18,339 ","$18,317 ","$12,652 ","$15,938 ","$18,339 ","$18,317 ",Orange County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Orange County
Internet & Mobile,"$1,283 ","$1,283 ","$1,283 ","$1,283 ","$1,849 ","$1,849 ","$1,849 ","$1,849 ","$1,849 ","$1,849 ","$1,849 ","$1,849 ",Orange County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Orange County
Required annual income after taxes,"$43,134 ","$81,417 ","$104,580 ","$134,799 ","$60,053 ","$74,601 ","$84,709 ","$92,007 ","$60,053 ","$90,476 ","$115,560 ","$136,636 ",Orange County
Annual taxes,"$8,396 ","$14,249 ","$19,696 ","$29,169 ","$10,073 ","$11,366 ","$11,525 ","$10,965 ","$10,073 ","$14,701 ","$18,395 ","$23,891 ",Orange County
Required annual income before taxes,"$51,531 ","$95,666 ","$124,276 ","$163,968 ","$70,125 ","$85,967 ","$96,235 ","$102,972 ","$70,125 ","$105,177 ","$133,955 ","$160,527 ",Orange County
Food,"$3,966 ","$5,846 ","$8,768 ","$11,654 ","$7,270 ","$9,050 ","$11,655 ","$14,211 ","$7,270 ","$9,050 ","$11,655 ","$14,211 ",Orleans County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Orleans County
Medical,"$3,123 ","$7,101 ","$6,953 ","$7,566 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ",Orleans County
Housing,"$9,088 ","$12,664 ","$12,664 ","$15,309 ","$10,174 ","$12,664 ","$12,664 ","$15,309 ","$10,174 ","$12,664 ","$12,664 ","$15,309 ",Orleans County
Transportation,"$11,488 ","$13,294 ","$16,747 ","$19,269 ","$13,294 ","$16,747 ","$19,269 ","$19,247 ","$13,294 ","$16,747 ","$19,269 ","$19,247 ",Orleans County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Orleans County
Internet & Mobile,"$1,628 ","$1,628 ","$1,628 ","$1,628 ","$2,194 ","$2,194 ","$2,194 ","$2,194 ","$2,194 ","$2,194 ","$2,194 ","$2,194 ",Orleans County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Orleans County
Required annual income after taxes,"$36,723 ","$65,417 ","$84,586 ","$107,732 ","$51,566 ","$62,665 ","$72,665 ","$76,354 ","$51,566 ","$74,361 ","$95,433 ","$109,342 ",Orleans County
Annual taxes,"$6,753 ","$9,473 ","$12,244 ","$18,441 ","$7,904 ","$8,311 ","$8,440 ","$6,955 ","$7,904 ","$10,572 ","$12,808 ","$13,941 ",Orleans County
Required annual income before taxes,"$43,476 ","$74,890 ","$96,830 ","$126,172 ","$59,470 ","$70,975 ","$81,105 ","$83,309 ","$59,470 ","$84,933 ","$108,241 ","$123,284 ",Orleans County
Food,"$4,011 ","$5,912 ","$8,868 ","$11,786 ","$7,353 ","$9,153 ","$11,788 ","$14,372 ","$7,353 ","$9,153 ","$11,788 ","$14,372 ",Oswego County
Child Care,$0 ,"$12,819 ","$24,952 ","$36,152 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,819 ","$24,952 ","$36,152 ",Oswego County
Medical,"$3,514 ","$8,280 ","$8,132 ","$8,745 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ",Oswego County
Housing,"$9,261 ","$12,594 ","$12,594 ","$15,446 ","$10,245 ","$12,594 ","$12,594 ","$15,446 ","$10,245 ","$12,594 ","$12,594 ","$15,446 ",Oswego County
Transportation,"$11,254 ","$13,024 ","$16,406 ","$18,877 ","$13,024 ","$16,406 ","$18,877 ","$18,855 ","$13,024 ","$16,406 ","$18,877 ","$18,855 ",Oswego County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Oswego County
Internet & Mobile,"$1,434 ","$1,434 ","$1,434 ","$1,434 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ",Oswego County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Oswego County
Required annual income after taxes,"$36,905 ","$67,251 ","$87,444 ","$111,758 ","$51,985 ","$63,342 ","$73,320 ","$77,246 ","$51,985 ","$76,160 ","$98,272 ","$113,398 ",Oswego County
Annual taxes,"$6,800 ","$10,001 ","$13,309 ","$19,979 ","$8,011 ","$8,483 ","$8,608 ","$7,183 ","$8,011 ","$11,033 ","$13,535 ","$15,195 ",Oswego County
Required annual income before taxes,"$43,705 ","$77,251 ","$100,753 ","$131,737 ","$59,996 ","$71,825 ","$81,928 ","$84,429 ","$59,996 ","$87,193 ","$111,808 ","$128,593 ",Oswego County
Food,"$4,270 ","$6,294 ","$9,441 ","$12,548 ","$7,828 ","$9,744 ","$12,549 ","$15,301 ","$7,828 ","$9,744 ","$12,549 ","$15,301 ",Otsego County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Otsego County
Medical,"$3,514 ","$8,280 ","$8,132 ","$8,745 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ",Otsego County
Housing,"$8,673 ","$12,798 ","$12,798 ","$15,729 ","$10,603 ","$12,798 ","$12,798 ","$15,729 ","$10,603 ","$12,798 ","$12,798 ","$15,729 ",Otsego County
Transportation,"$10,349 ","$11,977 ","$15,087 ","$17,359 ","$11,977 ","$15,087 ","$17,359 ","$17,339 ","$11,977 ","$15,087 ","$17,359 ","$17,339 ",Otsego County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Otsego County
Internet & Mobile,"$1,564 ","$1,564 ","$1,564 ","$1,564 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ",Otsego County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Otsego County
